type -1 	 flagBushy 1 	 flagRotate 0 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
6 	 0.000000 	 0.074134
8 	 0.000000 	 0.068912
10 	 0.000000 	 0.073412
12 	 0.015000 	 0.078214
14 	 0.031000 	 0.075876
16 	 0.078000 	 0.078654
18 	 0.250000 	 0.076936
20 	 0.797000 	 0.077108
22 	 2.422000 	 0.076687
24 	 6.984000 	 0.075456
26 	 21.015000 	 0.078057
28 	 63.499000 	 0.081688
30 	 152.121000 	 0.077692
32 	 445.098000 	 0.073821
34 	 1338.001000 	 0.073710
