type -1 	 flagBushy 0 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.025000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.000833
5 	 0.000000 	 0.001047
6 	 0.000000 	 0.000817
7 	 0.000000 	 0.000988
8 	 0.015000 	 0.000842
9 	 0.016000 	 0.000936
10 	 0.078000 	 0.000872
11 	 0.203000 	 0.000888
12 	 0.609000 	 0.000893
13 	 1.954000 	 0.000846
14 	 5.766000 	 0.000901
15 	 16.703000 	 0.000826
16 	 50.112000 	 0.000891
17 	 150.211000 	 0.000832
18 	 446.586000 	 0.000867
19 	 1367.157000 	 0.000849
