type 1 	 flagBushy 0 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.024482
5 	 0.000000 	 0.024279
6 	 0.000000 	 0.026510
7 	 0.000000 	 0.026180
8 	 0.000000 	 0.024995
9 	 0.031000 	 0.025855
10 	 0.047000 	 0.026445
11 	 0.171000 	 0.025719
12 	 0.532000 	 0.025709
13 	 1.656000 	 0.026373
14 	 4.656000 	 0.026132
15 	 13.953000 	 0.025822
16 	 42.109000 	 0.026260
17 	 129.264000 	 0.026326
18 	 386.287000 	 0.026005
19 	 1191.197000 	 0.026198
