type 1 	 flagBushy 1 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
6 	 0.000000 	 0.033355
8 	 0.000000 	 0.033534
10 	 0.000000 	 0.034257
12 	 0.015000 	 0.034781
14 	 0.016000 	 0.034468
16 	 0.093000 	 0.034571
18 	 0.188000 	 0.034776
20 	 0.609000 	 0.034596
22 	 1.891000 	 0.034722
24 	 5.421000 	 0.034592
26 	 16.561000 	 0.034894
28 	 50.745000 	 0.036114
30 	 149.437000 	 0.035205
32 	 490.544000 	 0.034543
34 	 1382.303000 	 0.034561
