type -1 	 flagBushy 0 	 flagRotate 0 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.025000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.000833
5 	 0.000000 	 0.001047
6 	 0.000000 	 0.000817
7 	 0.000000 	 0.000988
8 	 0.000000 	 0.000842
9 	 0.016000 	 0.000936
10 	 0.062000 	 0.000872
11 	 0.172000 	 0.000888
12 	 0.516000 	 0.000893
13 	 1.687000 	 0.000846
14 	 4.765000 	 0.000901
15 	 13.966000 	 0.000826
16 	 41.933000 	 0.000891
17 	 128.439000 	 0.000832
18 	 382.623000 	 0.000867
19 	 1191.546000 	 0.000849
