type -1 	 flagBushy 0 	 flagRotate 0 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.067369
5 	 0.000000 	 0.067118
6 	 0.000000 	 0.069314
7 	 0.000000 	 0.068958
8 	 0.000000 	 0.067753
9 	 0.016000 	 0.068596
10 	 0.062000 	 0.069173
11 	 0.172000 	 0.068435
12 	 0.516000 	 0.068415
13 	 1.672000 	 0.069071
14 	 4.640000 	 0.068822
15 	 13.969000 	 0.068505
16 	 42.141000 	 0.068938
17 	 125.643000 	 0.068998
18 	 378.239000 	 0.068672
19 	 1195.890000 	 0.068860
