type -1 	 flagBushy 1 	 flagRotate 0 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.025000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.001715
6 	 0.000000 	 0.000198
8 	 0.000000 	 0.001031
10 	 0.015000 	 0.001957
12 	 0.000000 	 0.002256
14 	 0.031000 	 0.002202
16 	 0.079000 	 0.002107
18 	 0.265000 	 0.002265
20 	 0.766000 	 0.002316
22 	 2.344000 	 0.002161
24 	 7.079000 	 0.002076
26 	 21.315000 	 0.001906
28 	 62.977000 	 0.002139
30 	 188.122000 	 0.001861
32 	 477.116000 	 0.002127
34 	 1347.262000 	 0.001895
