type 1 	 flagBushy 0 	 flagRotate 0 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.024482
5 	 0.015000 	 0.024279
6 	 0.000000 	 0.026510
7 	 0.000000 	 0.026180
8 	 0.000000 	 0.024995
9 	 0.031000 	 0.025855
10 	 0.063000 	 0.026445
11 	 0.203000 	 0.025719
12 	 0.609000 	 0.025709
13 	 1.923000 	 0.026373
14 	 5.578000 	 0.026132
15 	 16.548000 	 0.025822
16 	 49.426000 	 0.026260
17 	 148.740000 	 0.026326
18 	 445.263000 	 0.026005
19 	 1192.687000 	 0.026198
