type 1 	 flagBushy 1 	 flagRotate 0 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.025000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.129543
6 	 0.000000 	 0.129615
8 	 0.000000 	 0.129583
10 	 0.000000 	 0.129563
12 	 0.000000 	 0.129463
14 	 0.031000 	 0.129319
16 	 0.062000 	 0.129197
18 	 0.203000 	 0.129107
20 	 0.626000 	 0.129098
22 	 2.000000 	 0.129069
24 	 5.626000 	 0.128976
26 	 17.519000 	 0.128881
28 	 50.823000 	 0.128861
30 	 151.563000 	 0.128863
32 	 451.108000 	 0.128842
34 	 1605.225000 	 0.128740
