type -1 	 flagBushy 1 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
6 	 0.000000 	 0.074134
8 	 0.000000 	 0.068912
10 	 0.000000 	 0.073412
12 	 0.000000 	 0.078214
14 	 0.031000 	 0.075876
16 	 0.062000 	 0.078654
18 	 0.204000 	 0.076936
20 	 0.594000 	 0.077108
22 	 1.893000 	 0.076687
24 	 5.428000 	 0.075456
26 	 16.395000 	 0.078057
28 	 49.355000 	 0.081688
30 	 146.713000 	 0.077692
32 	 450.359000 	 0.073821
34 	 1595.826000 	 0.073710
