DataMarket : 76  data lines
TypeOpt,    T,        K,          PrixObs,      PrixMod,        Erreur (%)      SigmaImpObs,       SigmaImp       Erreur(%)
 -1      1.000000     70.000000     8.690633e-01     1.000000e-14     100.000000     0.261971    0.047197    81.983841
 -1      1.000000     80.000000     1.970092e+00     1.000000e-14     100.000000     0.237308    0.029707    87.481721
 -1      1.000000     90.000000     3.986715e+00     1.000000e-14     100.000000     0.212038    0.014221    93.293309
 1      1.000000     100.000000     7.419110e+00     0.000000e+00     100.000000     0.186238    0.010000    94.630527
 1      1.000000     110.000000     2.852024e+00     1.000000e-14     100.000000     0.160187    0.012824    91.994391
 1      1.000000     120.000000     7.244547e-01     1.000000e-14     100.000000     0.141634    0.024302    82.841754
 1      1.000000     130.000000     1.292793e-01     1.000000e-14     100.000000     0.131586    0.034687    73.639493
 1      1.000000     140.000000     2.023977e-02     1.000000e-14     100.000000     0.128034    0.044282    65.413817
 1      1.000000     150.000000     3.796176e-03     1.000000e-14     100.000000     0.129552    0.053209    58.928167
 1      1.000000     160.000000     1.073878e-03     1.000000e-14     100.000000     0.135024    0.061469    54.475754
 1      1.000000     180.000000     3.611890e-04     1.000000e-14     100.000000     0.154924    0.076530    50.601783
 1      1.000000     200.000000     4.481587e-04     1.000000e-14     100.000000     0.182686    0.089951    50.761953
 1      1.000000     230.000000     1.508798e-03     1.000000e-14     100.000000     0.232892    0.107623    53.788261
