0000.0361	2100.0000	0363.8836	0000.3175
0000.0361	2178.1800	0286.3833	0000.3030
0000.0361	2200.0000	0264.9560	0000.2990
0000.0361	2300.0000	0169.7434	0000.2800
0000.0361	2400.0000	0087.3498	0000.2650
0000.0361	2499.7600	0030.7989	0000.2472
0000.0361	2500.0000	0030.6922	0000.2471
0000.2000	1870.3000	0604.7069	0000.3105
0000.2000	1900.0000	0575.8671	0000.3076
0000.2000	2000.0000	0480.1569	0000.2976
0000.2000	2100.0000	0387.8081	0000.2877
0000.2000	2178.1800	0319.2536	0000.2800
0000.2000	2200.0000	0300.8535	0000.2778
0000.2000	2300.0000	0221.7997	0000.2678
0000.2000	2400.0000	0153.4599	0000.2580
0000.2000	2499.7600	0098.6541	0000.2493
0000.2000	2500.0000	0098.5481	0000.2493
0000.2000	2600.0000	0057.6211	0000.2405
0001.1944	1081.8200	1422.3793	0000.3804
0001.1944	1212.1200	1300.2537	0000.3667
0001.1944	1272.7300	1243.9913	0000.3603
0001.1944	1514.2400	1024.2491	0000.3348
0001.1944	1555.1500	0987.8732	0000.3305
0001.1944	1870.3000	0718.5042	0000.2973
0001.1944	1900.0000	0694.5535	0000.2946
0001.1944	2000.0000	0616.0779	0000.2858
0001.1944	2100.0000	0541.3524	0000.2775
0001.1944	2178.1800	0485.4762	0000.2709
0001.1944	2200.0000	0470.3553	0000.2691
0001.1944	2300.0000	0403.6199	0000.2608
0001.1944	2400.0000	0341.3294	0000.2524
0001.1944	2499.7600	0284.6621	0000.2446
0001.1944	2500.0000	0284.5517	0000.2446
0001.1944	2600.0000	0234.3949	0000.2381
0001.1944	2800.0000	0150.4660	0000.2251
0001.1944	2822.7300	0142.7034	0000.2240
0001.1944	2870.8300	0126.7954	0000.2213
0001.1944	2900.0000	0117.8746	0000.2198
0001.1944	3000.0000	0090.6650	0000.2148
0001.1944	3153.6400	0061.1561	0000.2113
0001.1944	3200.0000	0054.0033	0000.2103
0001.1944	3360.0000	0034.3978	0000.2069
0001.1944	3400.0000	0030.5319	0000.2060
0002.1916	1081.8200	1461.5779	0000.3451
0002.1916	1212.1200	1347.0938	0000.3350
0002.1916	1272.7300	1294.6453	0000.3303
0002.1916	1514.2400	1091.4644	0000.3116
0002.1916	1555.1500	1058.0363	0000.3084
0002.1916	1870.3000	0811.9753	0000.2840
0002.1916	1900.0000	0789.9141	0000.2817
0002.1916	2000.0000	0717.1540	0000.2739
0002.1916	2100.0000	0648.1303	0000.2672
0002.1916	2178.1800	0596.1162	0000.2619
0002.1916	2200.0000	0581.9011	0000.2604
0002.1916	2300.0000	0518.7248	0000.2536
0002.1916	2400.0000	0458.7610	0000.2468
0002.1916	2499.7600	0402.2774	0000.2400
0002.1916	2500.0000	0402.1683	0000.2400
0002.1916	2600.0000	0352.8007	0000.2358
0002.1916	2800.0000	0265.2982	0000.2273
0002.1916	2822.7300	0256.2585	0000.2263
0002.1916	2870.8300	0237.7887	0000.2242
0002.1916	2900.0000	0227.1122	0000.2230
0002.1916	3000.0000	0193.7374	0000.2195
0002.1916	3153.6400	0149.2260	0000.2141
0002.1916	3200.0000	0137.3773	0000.2125
0002.1916	3360.0000	0101.0438	0000.2065
0002.1916	3400.0000	0093.1568	0000.2050
0002.1916	3600.0000	0060.2327	0000.1975
0002.1916	3626.7900	0057.2336	0000.1972
0002.1916	3700.0000	0049.7045	0000.1964
0002.1916	3800.0000	0040.8162	0000.1953
0002.1916	4000.0000	0027.1204	0000.1931
