100	55	68	48	42	56	45	57	54	60	50	38	37	29	38	65	55	56	64	58	42	57	25	57	40	47	52	60	62	32
55	100	74	61	50	55	64	62	63	77	78	60	60	28	52	64	52	64	64	66	75	60	36	57	64	45	50	74	75	43
68	74	100	68	61	67	51	71	63	74	66	54	48	31	46	69	65	65	75	69	59	64	36	63	52	56	57	74	74	45
48	61	68	100	41	55	30	58	47	60	50	52	48	33	51	50	52	39	64	50	51	46	40	52	50	40	48	61	60	28
42	50	61	41	100	40	23	47	46	47	39	51	43	39	33	41	59	35	46	39	46	49	17	43	42	32	36	41	49	23
56	55	67	55	40	100	49	81	52	63	49	36	39	23	36	59	49	57	58	60	47	65	31	56	39	53	54	60	61	51
45	64	51	30	23	49	100	49	53	68	76	33	41	3	21	63	21	58	41	64	47	48	37	34	46	40	50	56	66	42
57	62	71	58	47	81	49	100	58	70	53	48	45	26	39	70	56	56	64	61	48	71	36	62	50	52	51	64	64	51
54	63	63	47	46	52	53	58	100	63	68	49	54	23	42	57	45	59	55	55	57	60	40	52	56	48	49	54	66	32
60	77	74	60	47	63	68	70	63	100	73	56	63	32	46	78	49	66	65	78	60	63	41	63	63	49	61	65	78	51
50	78	66	50	39	49	76	53	68	73	100	50	58	21	37	62	41	61	54	68	66	53	37	40	63	42	47	63	73	43
38	60	54	52	51	36	33	48	49	56	50	100	51	37	40	44	47	37	55	45	56	37	41	50	53	23	37	49	52	36
37	60	48	48	43	39	41	45	54	63	58	51	100	25	41	52	36	40	47	57	61	47	40	45	88	32	37	46	57	34
29	28	31	33	39	23	3	26	23	32	21	37	25	100	71	22	44	27	38	29	26	20	19	32	22	20	16	20	17	12
38	52	46	51	33	36	21	39	42	46	37	40	41	71	100	38	55	40	50	45	43	33	31	46	40	32	32	39	44	15
65	64	69	50	41	59	63	70	57	78	62	44	52	22	38	100	47	65	65	69	47	58	43	62	58	51	54	64	74	52
55	52	65	52	59	49	21	56	45	49	41	47	36	44	55	47	100	41	64	49	49	46	27	49	42	41	43	53	51	22
56	64	65	39	35	57	58	56	59	66	61	37	40	27	40	65	41	100	50	64	50	54	31	55	45	50	46	60	64	40
64	64	75	64	46	58	41	64	55	65	54	55	47	38	50	65	64	50	100	66	48	53	43	56	52	50	60	61	66	47
58	66	69	50	39	60	64	61	55	78	68	45	57	29	45	69	49	64	66	100	53	56	39	52	58	53	56	56	75	53
42	75	59	51	46	47	47	48	57	60	66	56	61	26	43	47	49	50	48	53	100	48	28	45	63	43	37	64	59	31
57	60	64	46	49	65	48	71	60	63	53	37	47	20	33	58	46	54	53	56	48	100	25	62	51	50	42	59	62	36
25	36	36	40	17	31	37	36	40	41	37	41	40	19	31	43	27	31	43	39	28	25	100	34	43	29	34	37	40	23
57	57	63	52	43	56	34	62	52	63	40	50	45	32	46	62	49	55	56	52	45	62	34	100	45	40	36	53	54	36
40	64	52	50	42	39	46	50	56	63	63	53	88	22	40	58	42	45	52	58	63	51	43	45	100	34	39	51	62	31
47	45	56	40	32	53	40	52	48	49	42	23	32	20	32	51	41	50	50	53	43	50	29	40	34	100	42	55	55	33
52	50	57	48	36	54	50	51	49	61	47	37	37	16	32	54	43	46	60	56	37	42	34	36	39	42	100	54	67	39
60	74	74	61	41	60	56	64	54	65	63	49	46	20	39	64	53	60	61	56	64	59	37	53	51	55	54	100	71	37
62	75	74	60	49	61	66	64	66	78	73	52	57	17	44	74	51	64	66	75	59	62	40	54	62	55	67	71	100	43
32	43	45	28	23	51	42	51	32	51	43	36	34	12	15	52	22	40	47	53	31	36	23	36	31	33	39	37	43	100
