0	1
0.0027397	0.999686
0.0054795	0.999608
0.0219178	0.999132
0.0410959	0.998579
0.060274	0.998028
0.0876712	0.997237
0.164384	0.995042
0.178082	0.994663
0.249315	0.992656
0.430137	0.987918
0.679452	0.981638
0.926027	0.975503
1.00274	0.973239
1.17534	0.969114
1.4274	0.962323
1.67671	0.95521
1.92329	0.947792
2.00548	0.944876
2.16986	0.939973
3.01096	0.911115
4.00822	0.873877
5.00548	0.834506
6.00822	0.794392
7.00822	0.754099
8.00822	0.714882
9.0137	0.676842
10.011	0.640819
11.011	0.606221
12.011	0.573896
13.011	0.54302
14.0192	0.513613
15.0164	0.485981
16.0137	0.460018
17.0137	0.435552
18.0164	0.412551
19.0164	0.390922
20.0219	0.370467
21.0192	0.351451
22.0192	0.333604
23.0192	0.316813
24.0192	0.30105
25.0192	0.28624
26.0219	0.272437
27.0219	0.259663
28.0219	0.247737
29.0219	0.236628
30.0247	0.226276
40.0301	0.147625
