6135.0	920.2	1840.5	3067.5	4294.5	4908.0	5214.8	5521.5	5828.2	6135.0	6257.7	6441.8	6748.5	7055.2	7362.0	8282.2	9202.5	10122.8	11043.0	12270.0	15337.5
11	1.99	1.59	1.19	0.80	0.58	0.47	0.37	0.28	0.20	0.18	0.18	0.23	0.32	0.41	0.63	0.76	0.86	0.94	1.02	1.17
45	1.83	1.43	0.99	0.61	0.45	0.38	0.32	0.26	0.21	0.19	0.17	0.15	0.14	0.15	0.29	0.54	0.79	0.99	1.12	1.26
73	1.60	1.28	0.92	0.60	0.46	0.39	0.34	0.28	0.23	0.21	0.19	0.16	0.15	0.15	0.19	0.31	0.46	0.63	0.77	0.97
164	1.35	1.05	0.74	0.51	0.41	0.36	0.32	0.28	0.24	0.21	0.20	0.18	0.16	0.16	0.17	0.22	0.32	0.44	0.58	0.94
253	1.16	0.93	0.69	0.48	0.39	0.35	0.32	0.28	0.25	0.22	0.21	0.18	0.17	0.15	0.12	0.11	0.10	0.08	0.05	0.22
342	0.99	0.80	0.60	0.44	0.37	0.34	0.31	0.28	0.25	0.22	0.21	0.19	0.17	0.16	0.14	0.14	0.16	0.19	0.25	0.55
432	0.84	0.72	0.58	0.44	0.37	0.34	0.31	0.28	0.27	0.22	0.22	0.19	0.18	0.17	0.14	0.13	0.14	0.15	0.17	0.25
522	0.86	0.69	0.53	0.40	0.35	0.32	0.30	0.28	0.25	0.24	0.21	0.20	0.18	0.17	0.15	0.14	0.14	0.15	0.18	0.29
611	0.82	0.67	0.54	0.42	0.37	0.35	0.32	0.30	0.28	0.27	0.23	0.22	0.20	0.19	0.17	0.15	0.15	0.16	0.17	0.24
797	0.73	0.62	0.51	0.41	0.37	0.33	0.33	0.30	0.29	0.25	0.24	0.22	0.21	0.20	0.17	0.15	0.15	0.15	0.15	0.17
977	0.68	0.57	0.47	0.39	0.36	0.34	0.33	0.30	0.31	0.25	0.26	0.23	0.22	0.21	0.18	0.17	0.16	0.15	0.15	0.16
1156	0.62	0.54	0.46	0.40	0.36	0.33	0.34	0.31	0.28	0.32	0.24	0.24	0.22	0.22	0.19	0.17	0.16	0.16	0.15	0.15
1515	0.60	0.52	0.45	0.39	0.39	0.33	0.39	0.30	0.39	0.28	0.32	0.25	0.25	0.23	0.21	0.19	0.18	0.17	0.15	0.15
1874	0.49	0.46	0.43	0.40	0.37	0.38	0.35	0.37	0.33	0.27	0.46	0.27	0.25	0.25	0.22	0.20	0.19	0.18	0.16	0.15
