0.1520 T0=0.25 Tn=1.0 periodicity=0.25
0.1620 T0=0.50 Tn=2.0 periodicity=0.50
0.1640 T0=0.50 Tn=3.0 periodicity=0.50
0.1630 T0=0.50 Tn=4.0 periodicity=0.50
0.1605 T0=0.50 Tn=5.0 periodicity=0.50
0.1555 T0=0.50 Tn=7.0 periodicity=0.50
0.1475 T0=0.50 Tn=10.0 periodicity=0.50
0.1350 T0=0.50 Tn=15.0 periodicity=0.50
0.1260 T0=0.50 Tn=20.0 periodicity=0.50
