1.000000 t=0.00
0.991982 t=0.25
0.982995 t=0.50
0.973132 t=0.75
0.962485 t=1.00
0.951141 t=1.25
0.939181 t=1.50
0.926683 t=1.75
0.913719 t=2.00
0.900356 t=2.25
0.886658 t=2.50
0.872682 t=2.75
0.858484 t=3.00
0.844112 t=3.25
0.829613 t=3.50
0.815028 t=3.75
0.800395 t=4.00
0.785750 t=4.25
0.771123 t=4.50
0.756544 t=4.75
0.742036 t=5.00
0.727623 t=5.25
0.713326 t=5.50
0.699162 t=5.75
0.685147 t=6.00
0.671295 t=6.25
0.657618 t=6.50
0.644126 t=6.75
0.630829 t=7.00
0.617732 t=7.25
0.604844 t=7.50
0.592168 t=7.75
0.579709 t=8.00
0.567470 t=8.25
0.555452 t=8.50
0.543658 t=8.75
0.532088 t=9.00
0.520743 t=9.25
0.509621 t=9.50
0.498721 t=9.75
