501.5000  0.1750  91.302312
531.0000  0.1750  62.790629
560.5000  0.1750  35.161363
590.0000  0.1750  12.860051
619.5000  0.1750  2.113316
649.0000  0.1750  0.120716
678.5000  0.1750  0.037275
708.0000  0.1750  0.016188
767.0000  0.1750  0.001647
826.0000  0.1750  0.000513
501.5000  0.4250  96.266161
531.0000  0.4250  69.046939
560.5000  0.4250  43.973085
590.0000  0.4250  23.280295
619.5000  0.4250  8.544554
649.0000  0.4250  2.262329
678.5000  0.4250  0.420911
708.0000  0.4250  0.193936
767.0000  0.4250  0.027656
826.0000  0.4250  0.008711
501.5000  0.6950  101.796954
531.0000  0.6950  76.133962
560.5000  0.6950  52.620272
590.0000  0.6950  32.607475
619.5000  0.6950  16.353059
649.0000  0.6950  5.948797
678.5000  0.6950  1.897924
708.0000  0.6950  0.604461
767.0000  0.6950  0.072499
826.0000  0.6950  0.024224
501.5000  0.9400  106.782138
531.0000  0.9400  82.232974
560.5000  0.9400  59.876042
590.0000  0.9400  39.858469
619.5000  0.9400  23.832959
649.0000  0.9400  9.613447
678.5000  0.9400  4.714382
708.0000  0.9400  1.783701
767.0000  0.9400  0.181633
826.0000  0.9400  0.044795
501.5000  1.0000  107.988889
531.0000  1.0000  83.605250
560.5000  1.0000  61.553736
590.0000  1.0000  41.568593
619.5000  1.0000  25.412374
649.0000  1.0000  12.752008
678.5000  1.0000  5.498013
708.0000  1.0000  2.128224
767.0000  1.0000  0.227425
826.0000  1.0000  0.054412
501.5000  1.5000  117.197772
531.0000  1.5000  94.368150
560.5000  1.5000  73.144218
590.0000  1.5000  53.971145
619.5000  1.5000  37.330781
649.0000  1.5000  23.680568
678.5000  1.5000  14.298636
708.0000  1.5000  7.650203
767.0000  1.5000  1.850091
826.0000  1.5000  0.309907
501.5000  2.0000  125.702230
531.0000  2.0000  103.950642
560.5000  2.0000  83.582252
590.0000  2.0000  64.898657
619.5000  2.0000  48.222544
649.0000  2.0000  34.186891
678.5000  2.0000  23.612786
708.0000  2.0000  14.675685
767.0000  2.0000  5.646622
826.0000  2.0000  1.777869
