1.0000 t=0.00
0.9960 t=0.084
0.9775 t=0.50
0.9671 t=0.75
0.9566 t=1.00
0.9443 t=1.30
0.9318 t=1.60
0.9149 t=2.00
0.8732 t=3.00
0.8319 t=4.00
0.7908 t=5.00
0.7496 t=6.00
0.7095 t=7.00
0.6707 t=8.00
0.6342 t=9.00
0.5995 t=10.00
0.5651 t=11.00
0.5326 t=12.00
0.5016 t=13.00
0.4726 t=14.00
0.4438 t=15.00
0.4176 t=16.00
0.3932 t=17.00
0.3696 t=18.00
0.3472 t=19.00
0.3263 t=20.00
0.3076 t=21.00
0.2899 t=22.00
0.2734 t=23.00
0.2573 t=24.00
0.2425 t=25.00
0.2295 t=26.00
0.2171 t=27.00
0.2057 t=28.00
0.1947 t=29.00
0.1843 t=30.00
